survived,pclass,sex,age,sibsp,parch,fare,embarked,who,adult_male,embark_town,alive,alone,family_size,class_Second,class_Third,age_group_Teenager,age_group_Young Adult,age_group_Adult
0,3,1,-0.5303538713815358,1,0,-0.5176199049813022,2,man,1,Southampton,0.0,0,2,False,True,False,True,False
1,1,0,0.8065821350033459,1,0,0.7127822635902696,0,woman,0,Cherbourg,0.0,0,2,False,False,False,False,True
1,3,0,-0.19611986978531534,0,0,-0.5046497556404778,2,woman,0,Southampton,0.0,1,1,False,True,False,True,False
1,1,0,0.5559066338061806,1,0,0.363389498391733,2,woman,0,Southampton,0.0,0,2,False,False,False,True,False
0,3,1,0.5559066338061806,0,0,-0.5022478761329178,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,3,1,0.11297285360260084,0,0,-0.4944023769094235,1,man,1,Queenstown,0.0,1,1,False,True,False,True,False
0,1,1,2.1435181413882276,0,0,0.3396108912668882,2,man,1,Southampton,0.0,1,1,False,False,False,False,True
0,3,1,-2.2015238793626377,3,1,-0.251972031445158,2,child,0,Southampton,0.0,0,5,False,True,False,False,False
1,3,0,-0.11256136938626023,0,2,-0.44300215544763794,2,woman,0,Southampton,0.0,0,3,False,True,False,True,False
1,2,0,-1.1988218745739765,1,0,-0.07911741005228673,0,child,0,Cherbourg,0.0,0,2,True,False,True,False,False
1,3,0,-2.0344068785645275,1,1,-0.33603781420976064,2,child,0,Southampton,0.0,0,3,False,True,False,False,False
0,3,1,-0.6974708721796459,0,0,-0.5022478761329178,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,3,1,0.890140635402401,1,5,-0.055978663628255994,2,man,1,Southampton,0.0,0,7,False,True,False,False,True
0,3,0,-1.1988218745739765,0,0,-0.5060101801935598,2,child,0,Southampton,0.0,1,1,False,True,True,False,False
1,2,0,2.2270766417872827,0,0,-0.349488339452097,2,woman,0,Southampton,0.0,1,1,True,False,False,False,True
0,3,1,-2.2015238793626377,4,1,-0.09729099115828924,1,child,0,Queenstown,0.0,0,6,False,True,False,False,False
1,2,1,0.11297285360260084,0,0,-0.4071334476335388,2,man,1,Southampton,0.0,1,1,True,False,False,True,False
0,3,0,0.22167263220996017,1,0,-0.31105826733113584,2,woman,0,Southampton,0.0,0,2,False,True,False,True,False
1,3,0,0.11297285360260084,0,0,-0.5181002808828142,0,woman,0,Cherbourg,0.0,1,1,False,True,False,True,False
0,2,1,0.5559066338061806,0,0,-0.1573379788472911,2,man,1,Southampton,0.0,1,1,True,False,False,True,False
1,2,1,0.47234813340712545,0,0,-0.4071334476335388,2,man,1,Southampton,0.0,1,1,True,False,False,True,False
1,3,0,-1.1152633741749214,0,0,-0.5026475488829758,1,child,0,Queenstown,0.0,1,1,False,True,True,False,False
1,1,1,-0.029002868987205135,0,0,0.02520486372727454,2,man,1,Southampton,0.0,1,1,False,False,False,True,False
0,3,0,-1.700172876968307,3,1,-0.251972031445158,2,child,0,Southampton,0.0,0,5,False,True,False,False,False
1,3,0,0.8065821350033459,1,5,-0.05381697207145191,2,woman,0,Southampton,0.0,0,7,False,True,False,False,True
0,3,1,0.11297285360260084,0,0,-0.5181002808828142,0,man,1,Cherbourg,0.0,1,1,False,True,False,True,False
0,1,1,-0.781029372578701,3,2,4.39662556748661,2,man,1,Southampton,0.0,0,6,False,False,False,True,False
1,3,0,0.11297285360260084,0,0,-0.5055298042920479,1,woman,0,Queenstown,0.0,1,1,False,True,False,True,False
0,3,1,0.11297285360260084,0,0,-0.5052108346934439,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,1,1,0.9736991358014561,0,0,-0.12427274479441608,0,man,1,Cherbourg,0.0,1,1,False,False,False,False,True
1,1,0,0.11297285360260084,1,0,2.1584735391906786,0,woman,0,Cherbourg,0.0,0,2,False,False,False,True,False
1,3,0,0.11297285360260084,0,0,-0.5080123869510619,1,woman,0,Queenstown,0.0,1,1,False,True,False,True,False
0,1,1,-0.029002868987205135,1,0,0.9219859686987522,0,man,1,Cherbourg,0.0,0,2,False,False,False,True,False
0,1,1,1.1408161365995662,1,0,0.34225295872520434,2,man,1,Southampton,0.0,0,2,False,False,False,False,True
1,3,1,0.11297285360260084,0,0,-0.5180195777313602,0,man,1,Cherbourg,0.0,1,1,False,True,False,True,False
0,3,1,-0.6139123717805908,0,0,-0.5022478761329178,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,3,0,-0.8645878729777561,2,0,-0.31105826733113584,2,woman,0,Southampton,0.0,0,3,False,True,True,False,False
1,3,0,-1.1988218745739765,1,0,-0.4409192455386818,0,child,0,Cherbourg,0.0,0,2,False,True,True,False,False
0,3,0,0.9736991358014561,1,0,-0.47486644974673287,2,woman,0,Southampton,0.0,0,2,False,True,False,False,True
0,2,0,-0.11256136938626023,1,0,-0.25341315914969403,2,woman,0,Southampton,0.0,0,2,True,False,False,True,False
0,3,1,0.11297285360260084,0,0,-0.5052108346934439,0,man,1,Cherbourg,0.0,1,1,False,True,False,True,False
1,2,0,-2.1179653789635826,1,2,0.14201691094614816,0,child,0,Cherbourg,0.0,0,4,True,False,False,False,False
1,3,0,-0.781029372578701,0,0,-0.5055298042920479,1,woman,0,Queenstown,0.0,1,1,False,True,False,True,False
0,3,1,0.11297285360260084,0,0,-0.5022478761329178,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,3,1,0.11297285360260084,1,0,-0.3590958574823373,1,man,1,Queenstown,0.0,0,2,False,True,False,True,False
0,3,1,0.11297285360260084,2,0,-0.24036230665741562,0,man,1,Cherbourg,0.0,0,3,False,True,False,True,False
0,3,0,-0.8645878729777561,1,0,-0.31490127454323197,2,woman,0,Southampton,0.0,0,2,False,True,True,False,False
0,3,1,-1.7837313773673622,4,1,0.10566782723053703,2,child,0,Southampton,0.0,0,6,False,True,False,False,False
0,3,1,-0.6139123717805908,0,0,-0.5070516351480379,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
1,1,0,1.7257256393929519,1,0,0.8174254284720411,0,woman,0,Cherbourg,0.0,0,2,False,False,False,False,True
1,2,0,0.054555631411849964,1,0,-0.1573379788472911,2,woman,0,Southampton,0.0,0,2,True,False,False,True,False
1,1,1,0.11297285360260084,0,0,0.02520486372727454,2,man,1,Southampton,0.0,1,1,False,False,False,True,False
1,2,0,-0.6139123717805908,0,0,-0.4551710377847403,2,woman,0,Southampton,0.0,1,1,True,False,False,True,False
0,3,1,0.012776381212322415,0,0,-0.5180195777313602,0,man,1,Cherbourg,0.0,1,1,False,True,False,True,False
1,2,0,-1.9508483781654724,1,2,-0.12371166574145005,2,child,0,Southampton,0.0,0,4,True,False,False,False,False
0,3,1,-1.4494973757711418,5,2,0.24425627481675327,2,child,0,Southampton,0.0,0,8,False,True,False,False,False
0,3,1,-0.5303538713815358,0,0,-0.5180195777313602,0,man,1,Cherbourg,0.0,1,1,False,True,False,True,False
1,1,0,0.8065821350033459,0,0,0.8802739684186609,2,woman,0,Southampton,0.0,1,1,False,False,False,False,True
0,1,1,1.3914916377967315,1,0,0.9470462187288309,2,man,1,Southampton,0.0,0,2,False,False,False,False,True
0,3,1,-2.0344068785645275,3,2,-0.120829410332378,2,child,0,Southampton,0.0,0,6,False,True,False,False,False
0,1,1,0.11297285360260084,0,0,-0.12427274479441608,0,man,1,Cherbourg,0.0,1,1,False,False,False,True,False
1,3,1,0.11297285360260084,1,1,-0.36398031964891153,0,man,1,Cherbourg,0.0,0,3,False,True,False,True,False
1,2,0,0.054555631411849964,0,0,-0.4551710377847403,2,woman,0,Southampton,0.0,1,1,True,False,False,True,False
0,3,1,-0.781029372578701,0,0,-0.5001668877275677,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
1,3,0,-0.9481463733768112,4,2,-0.5046497556404778,2,woman,0,Southampton,0.0,0,7,False,True,True,False,False
0,3,1,-0.19611986978531534,2,0,-0.49047866654587335,2,man,1,Southampton,0.0,0,3,False,True,False,True,False
0,2,1,0.30523113260901524,0,0,-0.4551710377847403,2,man,1,Southampton,0.0,1,1,True,False,False,True,False
0,3,0,-1.0317048737758663,5,2,0.24425627481675327,2,woman,0,Southampton,0.0,0,8,False,True,True,False,False
0,2,1,-0.6139123717805908,0,0,0.7553762340255371,2,man,1,Southampton,0.0,1,1,True,False,False,True,False
0,3,1,-0.19611986978531534,1,0,-0.3791909421943879,0,man,1,Cherbourg,0.0,0,2,False,True,False,True,False
1,3,1,0.30523113260901524,0,0,0.42863991784591304,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,3,1,-0.2796783701843704,0,0,-0.50993389055711,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
1,2,1,-2.2992873248295322,0,2,-0.09969287066584932,2,child,0,Southampton,0.0,0,3,True,False,False,False,False
1,3,0,0.13811413181090507,0,0,-0.4172213415652911,2,woman,0,Southampton,0.0,1,1,False,True,False,True,False
0,3,1,-0.5303538713815358,0,0,-0.4839935918754612,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
1,3,1,0.054555631411849964,0,0,-0.47438607384522086,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
1,3,0,0.11297285360260084,0,0,-0.5072918230987938,1,woman,0,Queenstown,0.0,1,1,False,True,False,True,False
0,1,1,-0.029002868987205135,0,0,0.24809928202884945,2,man,1,Southampton,0.0,1,1,False,False,False,True,False
1,2,0,-0.9481463733768112,0,0,-0.4551710377847403,2,woman,0,Southampton,0.0,1,1,True,False,True,False,False
1,3,0,0.38878963300807035,3,0,-0.35237059486116906,2,woman,0,Southampton,0.0,0,4,False,True,False,True,False
0,3,1,-1.0317048737758663,1,3,0.0035879481592338714,2,man,1,Southampton,0.0,0,5,False,True,True,False,False
1,1,0,-0.4467953709824806,3,2,4.39662556748661,2,woman,0,Southampton,0.0,0,6,False,False,False,True,False
0,3,1,-0.3632368705834255,0,0,-0.5022478761329178,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,3,1,0.054555631411849964,0,0,-0.5022478761329178,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,3,1,-0.6974708721796459,0,0,-0.5060101801935598,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,1,1,1.4750501381957866,1,0,0.5185509145801137,2,man,1,Southampton,0.0,0,2,False,False,False,False,True
0,3,1,-0.19611986978531534,1,2,-0.26157954947539835,2,man,1,Southampton,0.0,0,4,False,True,False,True,False
1,1,1,-0.4467953709824806,0,1,0.560503102810961,0,man,1,Cherbourg,0.0,0,2,False,False,False,True,False
1,2,0,0.47234813340712545,0,1,-0.21498308702873287,2,woman,0,Southampton,0.0,0,2,True,False,False,True,False
0,2,1,0.47234813340712545,1,0,-0.1573379788472911,2,man,1,Southampton,0.0,0,2,True,False,False,True,False
0,3,0,-0.029002868987205135,0,0,-0.5052108346934439,2,woman,0,Southampton,0.0,1,1,False,True,False,True,False
0,1,1,-0.6139123717805908,0,1,0.8281531831046072,2,man,1,Southampton,0.0,0,2,False,False,False,True,False
0,3,1,0.38878963300807035,0,0,-0.49063815134517536,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,3,1,0.7230236346042908,2,0,-0.5046497556404778,2,man,1,Southampton,0.0,0,3,False,True,False,False,True
0,3,1,-0.029002868987205135,0,0,-0.5052108346934439,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
1,3,0,-0.6139123717805908,0,0,-0.50993389055711,2,woman,0,Southampton,0.0,1,1,False,True,False,True,False
1,3,1,0.11297285360260084,0,0,-0.5075320110495499,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,3,1,0.8065821350033459,0,0,-0.5052108346934439,2,man,1,Southampton,0.0,1,1,False,True,False,False,True
1,3,0,0.11297285360260084,1,0,-0.19288579555918023,1,woman,0,Queenstown,0.0,0,2,False,True,False,True,False
0,1,1,1.5586086385948417,0,0,0.34225295872520434,2,man,1,Southampton,0.0,1,1,False,False,False,False,True
0,3,0,-1.157042624374449,1,0,-0.3791909421943879,0,child,0,Cherbourg,0.0,0,2,False,True,True,False,False
0,3,1,-0.5303538713815358,0,0,-0.5022478761329178,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,3,0,-0.6974708721796459,1,0,-0.4681411871255647,2,woman,0,Southampton,0.0,0,2,False,True,False,True,False
0,3,0,-0.9481463733768112,0,0,-0.37911216054653996,0,woman,0,Cherbourg,0.0,1,1,False,True,True,False,False
0,3,1,-0.6139123717805908,0,0,-0.5046497556404778,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,2,1,0.054555631411849964,1,0,-0.25341315914969403,2,man,1,Southampton,0.0,0,2,True,False,False,True,False
0,1,1,-0.3632368705834255,0,1,4.099192181299219,0,man,1,Cherbourg,0.0,0,2,False,False,False,True,False
0,3,0,-2.2015238793626377,4,2,-0.055978663628255994,2,child,0,Southampton,0.0,0,7,False,True,False,False,False
0,2,1,-0.6139123717805908,2,0,0.7553762340255371,2,man,1,Southampton,0.0,0,3,True,False,False,True,False
0,2,1,0.3470103828085428,1,0,-0.07911741005228673,0,man,1,Cherbourg,0.0,0,2,True,False,False,True,False
1,2,0,0.3470103828085428,0,0,-0.4071334476335388,2,woman,0,Southampton,0.0,1,1,True,False,False,True,False
0,1,1,2.1435181413882276,0,1,0.8281531831046072,2,man,1,Southampton,0.0,0,2,False,False,False,False,True
1,3,1,-1.3659388753720867,1,0,-0.4409192455386818,0,child,0,Cherbourg,0.0,0,2,False,True,False,False,False
0,3,1,0.11297285360260084,0,0,-0.5080123869510619,1,man,1,Queenstown,0.0,1,1,False,True,False,True,False
1,3,1,-0.3632368705834255,0,0,-0.5197008933866523,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
1,3,0,0.11297285360260084,1,1,-0.22731337566874327,0,woman,0,Cherbourg,0.0,0,3,False,True,False,True,False
0,3,1,1.3914916377967315,0,0,-0.5229040398979343,2,man,1,Southampton,0.0,1,1,False,True,False,False,True
0,3,1,0.38878963300807035,0,0,-0.5052108346934439,0,man,1,Cherbourg,0.0,1,1,False,True,False,True,False
0,3,1,-0.6974708721796459,0,0,-0.5214629121933984,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,3,0,1.5586086385948417,1,0,-0.37831089354281794,2,woman,0,Southampton,0.0,0,2,False,True,False,False,True
0,2,1,-0.2796783701843704,0,0,-0.4071334476335388,2,man,1,Southampton,0.0,1,1,True,False,False,True,False
0,2,1,-0.4467953709824806,0,0,-0.3678233268610076,0,man,1,Cherbourg,0.0,1,1,True,False,False,True,False
1,1,0,-0.781029372578701,0,2,-0.15189435913135693,2,woman,0,Southampton,0.0,0,3,False,False,False,True,False
0,1,1,0.7230236346042908,1,0,0.363389498391733,2,man,1,Southampton,0.0,0,2,False,False,False,False,True
0,3,1,-1.0317048737758663,0,0,-0.47982969356115507,2,man,1,Southampton,0.0,1,1,False,True,True,False,False
0,1,1,-0.3632368705834255,0,0,0.8649019395702765,0,man,1,Cherbourg,0.0,1,1,False,False,False,True,False
0,3,0,0.11297285360260084,0,2,-0.36398031964891153,0,woman,0,Cherbourg,0.0,0,3,False,True,False,True,False
1,3,0,-0.5303538713815358,0,0,-0.5080123869510619,2,woman,0,Southampton,0.0,1,1,False,True,False,True,False
1,3,0,-0.3632368705834255,1,0,-0.35237059486116906,2,woman,0,Southampton,0.0,0,2,False,True,False,True,False
0,3,1,-0.781029372578701,0,0,-0.5272274230115425,1,man,1,Queenstown,0.0,1,1,False,True,False,True,False
0,2,1,-0.8645878729777561,0,0,-0.4359560017242597,2,man,1,Southampton,0.0,1,1,True,False,True,False,False
0,2,1,-0.781029372578701,1,1,0.04922365880287528,2,man,1,Southampton,0.0,0,3,True,False,False,True,False
1,3,1,-0.11256136938626023,0,0,-0.5071323382994919,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,3,0,-1.616614376569252,2,2,0.0035879481592338714,2,child,0,Southampton,0.0,0,5,False,True,False,False,False
0,2,1,0.6812443844047632,0,2,-0.1573379788472911,2,man,1,Southampton,0.0,0,3,True,False,False,False,True
0,2,1,1.1408161365995662,0,0,-0.4071334476335388,2,man,1,Southampton,0.0,1,1,True,False,False,False,True
0,2,1,1.892842640191062,0,0,-0.4162605897622671,2,man,1,Southampton,0.0,1,1,True,False,False,False,True
1,1,0,-0.5303538713815358,1,0,0.6227924852082208,2,woman,0,Southampton,0.0,0,2,False,False,False,True,False
0,3,1,2.26885589198681,0,0,-0.5022478761329178,2,man,1,Southampton,0.0,1,1,False,True,False,False,True
0,3,1,1.0154783860009835,0,2,-0.37831089354281794,2,man,1,Southampton,0.0,0,3,False,True,False,False,True
0,3,1,0.11297285360260084,0,0,-0.5164189652275222,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,1,1,1.892842640191062,0,1,0.5224746249436638,0,man,1,Cherbourg,0.0,0,2,False,False,False,False,True
1,3,0,-1.0317048737758663,0,0,-0.508333278053272,1,woman,0,Queenstown,0.0,1,1,False,True,True,False,False
0,3,1,0.13811413181090507,0,0,-0.5022478761329178,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,3,1,0.11297285360260084,0,0,-0.49047866654587335,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,3,1,0.11297285360260084,8,2,0.6794768415866387,2,man,1,Southampton,0.0,0,11,False,True,False,True,False
0,3,1,1.3079331373976764,0,1,-0.3475668358460489,2,man,1,Southampton,0.0,0,2,False,True,False,False,True
1,2,0,0.9736991358014561,0,0,-0.35429209846721715,2,woman,0,Southampton,0.0,1,1,True,False,False,False,True
0,3,1,-0.19611986978531534,0,0,-0.5075320110495499,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,3,1,-0.9481463733768112,0,0,-0.49047866654587335,2,man,1,Southampton,0.0,1,1,False,True,True,False,False
0,3,1,-2.285082379761693,4,1,0.10566782723053703,2,child,0,Southampton,0.0,0,6,False,True,False,False,False
1,3,1,-1.616614376569252,0,2,-0.26254030127842237,2,child,0,Southampton,0.0,0,3,False,True,False,False,False
1,1,0,0.11297285360260084,0,1,0.3998980669066461,2,woman,0,Southampton,0.0,0,2,False,False,False,True,False
0,3,0,1.3914916377967315,1,4,-0.120829410332378,2,woman,0,Southampton,0.0,0,6,False,True,False,False,True
0,1,1,0.11297285360260084,0,0,-0.15877910655182711,2,man,1,Southampton,0.0,1,1,False,False,False,True,False
0,3,1,-0.029002868987205135,0,0,0.42863991784591304,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,3,1,-2.0344068785645275,4,1,-0.09729099115828924,1,child,0,Queenstown,0.0,0,6,False,True,False,False,False
1,3,0,-2.285082379761693,1,1,-0.44300215544763794,2,child,0,Southampton,0.0,0,3,False,True,False,False,False
0,1,1,2.310635142186338,0,0,-0.06710801251448635,0,man,1,Cherbourg,0.0,1,1,False,False,False,False,True
0,3,1,-0.8645878729777561,1,1,-0.5060101801935598,2,man,1,Southampton,0.0,0,3,False,True,True,False,False
0,3,1,0.11297285360260084,3,1,-0.16758535757834542,2,man,1,Southampton,0.0,0,5,False,True,False,True,False
0,1,0,1.809284139792007,0,0,-0.10521719353323751,0,woman,0,Cherbourg,0.0,1,1,False,False,False,False,True
0,2,1,0.13811413181090507,0,0,-0.4071334476335388,2,man,1,Southampton,0.0,1,1,True,False,False,True,False
0,3,1,0.6394651342052357,0,0,-0.6569289164197866,2,man,1,Southampton,0.0,1,1,False,True,False,False,True
0,3,0,0.11297285360260084,8,2,0.6794768415866387,2,woman,0,Southampton,0.0,0,11,False,True,False,True,False
0,2,1,0.11297285360260084,0,0,-0.3677426237095536,0,man,1,Cherbourg,0.0,1,1,True,False,False,True,False
0,3,1,-1.616614376569252,4,2,-0.05381697207145191,2,child,0,Southampton,0.0,0,7,False,True,False,False,False
1,2,1,-2.285082379761693,2,1,0.09245748993895661,2,child,0,Southampton,0.0,0,4,True,False,False,False,False
1,3,0,-2.0344068785645275,0,2,-0.23371774718770147,2,child,0,Southampton,0.0,0,3,False,True,False,False,False
0,1,1,0.11297285360260084,0,0,0.3038228866042431,2,man,1,Southampton,0.0,1,1,False,False,False,True,False
1,3,0,0.11297285360260084,1,0,-0.3590958574823373,1,woman,0,Queenstown,0.0,0,2,False,True,False,True,False
1,1,1,1.3914916377967315,0,0,-0.14676970901402675,2,man,1,Southampton,0.0,1,1,False,False,False,False,True
0,3,1,0.9736991358014561,1,1,-0.3590958574823373,1,man,1,Queenstown,0.0,0,3,False,True,False,False,True
0,3,1,0.6394651342052357,0,0,-0.5052108346934439,2,man,1,Southampton,0.0,1,1,False,True,False,False,True
1,2,0,0.30523113260901524,0,0,-0.4071334476335388,2,woman,0,Southampton,0.0,1,1,True,False,False,True,False
0,2,1,-0.781029372578701,0,0,-0.4071334476335388,2,man,1,Southampton,0.0,1,1,True,False,False,True,False
1,3,0,-0.781029372578701,1,0,-0.5060101801935598,2,woman,0,Southampton,0.0,0,2,False,True,False,True,False
1,2,1,-2.1179653789635826,1,1,-0.1573379788472911,2,child,0,Southampton,0.0,0,3,True,False,False,False,False
1,1,0,1.3079331373976764,0,0,-0.12427274479441608,0,woman,0,Cherbourg,0.0,1,1,False,False,False,False,True
0,3,1,1.1408161365995662,0,1,-0.4954419103602955,2,man,1,Southampton,0.0,0,2,False,True,False,False,True
0,2,0,-0.3632368705834255,0,0,-0.4071334476335388,2,woman,0,Southampton,0.0,1,1,True,False,False,True,False
0,3,1,-0.029002868987205135,0,0,-0.47438607384522086,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,3,1,0.47234813340712545,0,0,-0.5321118851781167,2,man,1,Southampton,0.0,1,1,False,True,False,True,False
0,3,1,1.433270887996259,0,0,-0.5181002808828142,0,man,1,Cherbourg,0.0,1,1,False,True,False,False,True
1,3,1,-0.8645878729777561,0,0,-0.5022478761329178,2,man,1,Southampton,0.0,1,1,False,True,True,False,False
